epoch,lr,loss,acc,val_loss,val_acc
0.0,0.1,0.5576322518070539,85.61666666666666,0.089730502833426,97.96
1.0,0.1,0.10002561726421118,97.48,0.0703701690942049,98.0
2.0,0.1,0.06701437438478072,98.23166666666667,0.04573655935823917,98.75
3.0,0.1,0.05195118132630984,98.58833333333334,0.051766647593304516,98.36
4.0,0.1,0.04369350283928215,98.745,0.0360309842178598,98.93
5.0,0.1,0.03665440511299918,98.94333333333333,0.03495625939201564,98.94
6.0,0.1,0.03108996729136755,99.13833333333334,0.03186227681720629,99.01
7.0,0.1,0.026805441681140414,99.25333333333333,0.04919262851886451,98.42
8.0,0.1,0.023763905376878877,99.32666666666667,0.030081212260853498,99.03
9.0,0.1,0.021088991000844787,99.45,0.030951847922708838,99.0
